Initialized
Press Enter to quit...
Service Connected
Device Changed
id: Connected Device: LP29982994072 v17
  isStreaming: true
Connected
Frame Id, Hands, Timestamp, Extended Fingers, Tools, Gestures, Hand Id, Hand Palm X, Y, Z, Hand Pitch, Hand Roll, Hand Yaw, Arm Direction X, Y, Z, Wrist Position X, Y, Z, Elbow Position X, Y, Z, Thumb Id, Thumb Length, Thumb width, Thumb Metacarpal Start X, Y, Z, Thumb Metacarpal End X, Y, Z, Thumb Metacarpal Direction X, Y, Z, Thumb Proximal Start X, Y, Z, Thumb Proximal End X, Y, Z, Thumb Proximal Direction X, Y, Z, Thumb Middle Start X, Y, Z, Thumb Middle End X, Y, Z, Thumb Middle Direction X, Y, Z, Thumb Distal Start X, Y, Z, Thumb Distal End X, Y, Z, Thum Distal Direction X, Y, Z, Index Id, Index Length, Index Width, Index Metacarpal Start X, Y, Z, Index Metacarpal End X, Y, Z, Index Metacarpal Direction X, Y, Z, Index Proximal Start X, Y, Z, Index Proximal End X, Y, Z, Index Proximal Direction X, Y, Z, Index Middle Start X, Y, Z, Index Middle End X, Y, Z, Index Middle Direction X, Y, Z, Index Distal Start X, Y, Z, Index Distal End X, Y, Z, Index Distal Direction X, Y, Z, Middle Id, Middle Length, Middle Width, Middle Metacarpal Start X, Y, Z, Middle Metacarpal End X, Y, Z, Middle Metacarpal Direction X, Y, Z, Middle Proximal Start X, Y, Z, Middle Proximal End X, Y, Z, Middle Metacarpal Direction X, Y, Z, Middle Middle Start X, Y, Z, Middle Middle End X, Y, Z, Middle Middle Direction X, Y, Z, Middle Distal Start X, Y, Z, Middle Distal End X, Y, Z, Middle Distal Direction X, Y, Z, Ring Id, Ring Length, Ring Width, Ring Metacarpal Start X, Y, Z, Ring Metacarpal End X, Y, Z, Ring Metacarpal Direction X, Y, Z, Ring Proximal Start X, Y, Z, Ring Proximal End X, Y, Z, Ring Proximal Direction X, Y, Z, Ring Middle Start X, Y, Z, Ring Middle End X, Y, Z, Ring Middle Direction X, Y, Z, Ring Distal Start X, Y, Z, Ring Distal End X, Y, Z, Ring Distal Direction X, Y, Z, Pinky Id, Pinky Length, Pinky Width, Pinky Metacarpal Start X, Y, Z, Pinky Metacarpal End X, Y, Z, Pinky Metacarpal Direction X, Y, Z, Pinky Proximal Start X, Y, Z, Pinky Proximal End X, Y, Z, Pinky Proximal Direction X, Y, Z, Pinky Middle Start X, Y, Z, Pinky Middle End X, Y, Z, Pinky Middle Direction X, Y, Z, Pinky Distal Start X, Y, Z, Pinky Distal End X, Y, Z, Pinky Distal Direction X, Y, Z
Focus Gained
15289, 689896899, 1, 5, 0, 0, 6, (46.6798, 114.759, -53.3482), 37.939 degrees, -8.23437 degrees, -79.0212 degrees , (-0.970315, 0.0737329, -0.230329), (94.4554, 111.335, -36.8684), (337.034, 92.9018, 20.7138), 60, 48.2559, 18.75, (101.148, 101.119, -62.5129), (101.148, 101.119, -62.5129), (0, 0, 0), (101.148, 101.119, -62.5129), (62.2586, 96.6262, -87.0833), (0.841401, 0.097196, 0.531599), (62.2586, 96.6262, -87.0833), (40.1411, 96.6117, -109.611), (0.700588, 0.000459165, 0.713565), (40.1411, 96.6117, -109.611), (29.1609, 98.7937, -128.165), (0.506699, -0.100694, 0.856223), 61, 54.4514, 17.91, (92.6908, 120.442, -56.4474), (28.9195, 120.26, -80.3959), (0.936161, 0.00267701, 0.351562), (28.9195, 120.26, -80.3959), (-10.4871, 118.408, -85.5089), (0.990612, 0.0465443, 0.128532), (-10.4871, 118.408, -85.5089), (-32.6192, 116.717, -88.3677), (0.988924, 0.0755757, 0.12774), (-32.6192, 116.717, -88.3677), (-48.2335, 115.16, -90.3774), (0.987001, 0.0984438, 0.127038), 62, 62.043, 17.59, (88.222, 122.236, -46.113), (25.2066, 122.145, -60.3328), (0.975471, 0.00140565, 0.220121), (25.2066, 122.145, -60.3328), (-18.8196, 123.558, -67.512), (0.986469, -0.0316609, 0.160859), (-18.8196, 123.558, -67.512), (-44.7863, 123.59, -71.8703), (0.986205, -0.00120569, 0.165527), (-44.7863, 123.59, -71.8703), (-61.9305, 123.179, -74.8146), (0.985297, 0.0236016, 0.169212), 63, 59.656, 16.738, (84.9915, 121.348, -35.2422), (27.1371, 121.16, -39.3454), (0.997489, 0.0032396, 0.0707441), (27.1371, 121.16, -39.3454), (-13.7889, 123.845, -44.7608), (0.989269, -0.064895, 0.130904), (-13.7889, 123.845, -44.7608), (-39.1698, 124.026, -48.4625), (0.989507, -0.00704105, 0.144316), (-39.1698, 124.026, -48.4625), (-56.2464, 123.325, -51.1432), (0.987091, 0.040505, 0.154953), 64, 46.7692, 14.868, (84.0003, 114.126, -24.264), (30.4755, 116, -20.4961), (0.996924, -0.0348978, -0.0701802), (30.4755, 116, -20.4961), (-1.64603, 119.505, -25.7713), (0.981109, -0.107063, 0.161126), (-1.64603, 119.505, -25.7713), (-19.4251, 120.43, -29.0912), (0.981727, -0.0510634, 0.183318), (-19.4251, 120.43, -29.0912), (-35.06, 120.522, -32.2948), (0.97963, -0.00577989, 0.200726)
15290, 689905648, 1, 5, 0, 0, 6, (46.7475, 114.613, -50.4616), 47.1924 degrees, -8.97725 degrees, -81.3912 degrees , (-0.971976, 0.0697782, -0.224485), (95.105, 110.501, -35.9544), (338.099, 93.0568, 20.167), 60, 48.2559, 18.75, (100.639, 100.435, -61.9324), (100.639, 100.435, -61.9324), (0, 0, 0), (100.639, 100.435, -61.9324), (60.7834, 96.6755, -85.0343), (0.862298, 0.0813447, 0.499826), (60.7834, 96.6755, -85.0343), (37.7927, 97.1438, -106.665), (0.728245, -0.0148339, 0.685157), (37.7927, 97.1438, -106.665), (26.0427, 99.6018, -124.706), (0.542228, -0.113429, 0.83254), 61, 54.4514, 17.91, (92.6596, 119.8, -55.3697), (27.9773, 120.553, -76.723), (0.949535, -0.0110542, 0.313466), (27.9773, 120.553, -76.723), (-11.5721, 119.083, -80.7398), (0.994202, 0.0369485, 0.100977), (-11.5721, 119.083, -80.7398), (-33.7668, 117.285, -82.9819), (0.99172, 0.0803459, 0.10018), (-33.7668, 117.285, -82.9819), (-49.404, 115.475, -84.5547), (0.988446, 0.114408, 0.0994199), 62, 62.043, 17.59, (88.6323, 121.553, -44.8485), (25.0982, 122.304, -56.5113), (0.983499, -0.0116175, 0.180539), (25.0982, 122.304, -56.5113), (-19.1145, 122.938, -62.5671), (0.99065, -0.0142047, 0.135689), (-19.1145, 122.938, -62.5671), (-45.1848, 122.648, -66.2447), (0.990137, 0.0109842, 0.139673), (-45.1848, 122.648, -66.2447), (-62.3977, 122.103, -68.73), (0.98925, 0.0313656, 0.142831), 63, 59.656, 16.738, (85.8323, 120.607, -33.8639), (27.8614, 121.113, -35.6279), (0.999499, -0.00872145, 0.0304144), (27.8614, 121.113, -35.6279), (-13.2154, 124.31, -39.3631), (0.992913, -0.0772843, 0.0902881), (-13.2154, 124.31, -39.3631), (-38.721, 124.811, -42.0349), (0.994368, -0.0195565, 0.10416), (-38.721, 124.811, -42.0349), (-55.8989, 124.328, -44.0292), (0.99294, 0.0279183, 0.115281), 64, 46.7692, 14.868, (85.1998, 113.3, -22.9151), (31.8959, 115.749, -16.9725), (0.992809, -0.0456102, -0.110684), (31.8959, 115.749, -16.9725), (-0.407239, 120.248, -19.831), (0.986657, -0.137419, 0.0873108), (-0.407239, 120.248, -19.831), (-18.3439, 121.782, -21.8052), (0.990427, -0.0846791, 0.10901), (-18.3439, 121.782, -21.8052), (-34.162, 122.448, -23.8213), (0.99111, -0.0417738, 0.126319)
15291, 689914271, 1, 5, 0, 0, 6, (47.1086, 114.283, -46.301), 59.3427 degrees, -10.1442 degrees, -83.8033 degrees , (-0.979092, 0.0488865, -0.197457), (95.9302, 109.125, -33.8243), (340.703, 96.9037, 15.5399), 60, 48.2559, 18.75, (100.209, 99.2224, -60.1003), (100.209, 99.2224, -60.1003), (0, 0, 0), (100.209, 99.2224, -60.1003), (59.4302, 96.5425, -81.6926), (0.882268, 0.0579793, 0.467164), (59.4302, 96.5425, -81.6926), (35.5807, 97.6892, -102.346), (0.755451, -0.0363222, 0.654198), (35.5807, 97.6892, -102.346), (23.0378, 100.518, -119.789), (0.578812, -0.130547, 0.804943), 61, 54.4514, 17.91, (92.8729, 118.664, -53.0351), (27.4002, 120.837, -71.7153), (0.961137, -0.0318984, 0.274224), (27.4002, 120.837, -71.7153), (-12.2706, 119.959, -74.5259), (0.997256, 0.0220804, 0.0706549), (-12.2706, 119.959, -74.5259), (-34.5339, 118.303, -76.0979), (0.994783, 0.0739853, 0.0702412), (-34.5339, 118.303, -76.0979), (-50.2108, 116.49, -77.2019), (0.990954, 0.114633, 0.0697829), 62, 62.043, 17.59, (89.3116, 120.385, -42.342), (25.3809, 122.436, -51.3872), (0.98964, -0.0317434, 0.140019), (25.3809, 122.436, -51.3872), (-18.9526, 122.952, -56.4972), (0.993356, -0.0115708, 0.114497), (-18.9526, 122.952, -56.4972), (-45.0868, 122.396, -59.6539), (0.992562, 0.0211264, 0.119892), (-45.0868, 122.396, -59.6539), (-62.3328, 121.576, -61.8132), (0.991149, 0.0471562, 0.124095), 63, 59.656, 16.738, (86.944, 119.38, -31.2613), (28.9694, 120.982, -30.6465), (0.999562, -0.0276213, -0.0106008), (28.9694, 120.982, -30.6465), (-12.1621, 124.888, -32.7473), (0.994235, -0.0944308, 0.0507824), (-12.1621, 124.888, -32.7473), (-37.7404, 125.822, -34.4205), (0.997206, -0.0364123, 0.0652312), (-37.7404, 125.822, -34.4205), (-54.9881, 125.628, -35.751), (0.996975, 0.0112615, 0.0769054), 64, 46.7692, 14.868, (86.6194, 111.975, -20.3649), (33.6581, 115.355, -12.2229), (0.986428, -0.0629447, -0.151648), (33.6581, 115.355, -12.2229), (1.47074, 121.341, -12.4594), (0.983119, -0.182822, 0.00722354), (1.47074, 121.341, -12.4594), (-16.469, 123.766, -12.966), (0.990597, -0.133919, 0.0279731), (-16.469, 123.766, -12.966), (-32.3427, 125.261, -13.6821), (0.994591, -0.09368, 0.0448652)
15292, 689922926, 1, 5, 0, 0, 6, (46.9372, 113.675, -41.2109), 69.6991 degrees, -11.3572 degrees, -85.6724 degrees , (-0.986868, 0.0172473, -0.160608), (95.9968, 107.371, -30.2915), (342.714, 103.059, 9.86052), 60, 48.2559, 18.75, (99.2899, 97.7983, -56.8307), (99.2899, 97.7983, -56.8307), (0, 0, 0), (99.2899, 97.7983, -56.8307), (57.8941, 96.37, -77.3402), (0.895624, 0.0309015, 0.443737), (57.8941, 96.37, -77.3402), (33.4492, 98.3355, -97.221), (0.774311, -0.062258, 0.629735), (33.4492, 98.3355, -97.221), (20.3006, 101.639, -114.126), (0.606761, -0.152424, 0.780133), 61, 54.4514, 17.91, (92.5585, 117.267, -49.2556), (26.6138, 121.01, -65.9176), (0.968066, -0.054952, 0.244597), (26.6138, 121.01, -65.9176), (-13.1104, 120.594, -67.9824), (0.998597, 0.01046, 0.0519048), (-13.1104, 120.594, -67.9824), (-35.41, 119.104, -69.1528), (0.99641, 0.066566, 0.0522999), (-35.41, 119.104, -69.1528), (-51.1114, 117.359, -69.9833), (0.992504, 0.110362, 0.0524938), 62, 62.043, 17.59, (89.3533, 118.89, -38.4353), (25.2347, 122.33, -45.5161), (0.992547, -0.0532547, 0.10961), (25.2347, 122.33, -45.5161), (-19.1697, 123.404, -49.8667), (0.994946, -0.0240764, 0.097481), (-19.1697, 123.404, -49.8667), (-45.3503, 122.944, -52.6294), (0.994326, 0.017487, 0.104927), (-45.3503, 122.944, -52.6294), (-62.6211, 122.067, -54.5555), (0.992575, 0.0504185, 0.110697), 63, 59.656, 16.738, (87.298, 117.757, -27.3046), (29.4112, 120.482, -24.9173), (0.998048, -0.0469718, -0.041161), (29.4112, 120.482, -24.9173), (-11.6791, 124.962, -26.6453), (0.99324, -0.108307, 0.0417686), (-11.6791, 124.962, -26.6453), (-37.2532, 126.298, -28.0965), (0.997039, -0.0520765, 0.0565806), (-37.2532, 126.298, -28.0965), (-54.5122, 126.403, -29.2819), (0.997631, -0.00608808, 0.0685177), 64, 46.7692, 14.868, (87.1509, 110.191, -16.516), (34.5345, 114.477, -6.73033), (0.980004, -0.0798213, -0.182263), (34.5345, 114.477, -6.73033), (2.61125, 121.49, -4.82601), (0.975053, -0.214217, -0.0581651), (2.61125, 121.49, -4.82601), (-15.2329, 124.507, -4.15137), (0.985321, -0.166599, -0.0372522), (-15.2329, 124.507, -4.15137), (-31.0603, 126.536, -3.83245), (0.991688, -0.127104, -0.0199824)
15293, 689934168, 1, 5, 0, 0, 6, (47.2229, 113.11, -34.1269), 83.3464 degrees, -11.9092 degrees, -88.5811 degrees , (-0.992221, -0.00517442, -0.124379), (96.692, 106.279, -25.6442), (344.747, 107.572, 5.45062), 60, 48.2559, 18.75, (98.6658, 97.1849, -52.4809), (98.6658, 97.1849, -52.4809), (0, 0, 0), (98.6658, 97.1849, -52.4809), (56.4051, 96.5352, -71.1865), (0.914338, 0.0140561, 0.404707), (56.4051, 96.5352, -71.1865), (31.0208, 99.0356, -89.789), (0.804062, -0.0792029, 0.589246), (31.0208, 99.0356, -89.789), (16.9111, 102.663, -105.831), (0.651121, -0.167384, 0.740287), 61, 54.4514, 17.91, (92.4423, 116.552, -44.2399), (25.8188, 121.041, -57.7113), (0.978032, -0.065907, 0.19776), (25.8188, 121.041, -57.7113), (-13.9487, 120.424, -58.4967), (0.999685, 0.0155102, 0.0197439), (-13.9487, 120.424, -58.4967), (-36.2604, 118.743, -58.9729), (0.996947, 0.0751328, 0.0212759), (-36.2604, 118.743, -58.9729), (-51.9593, 116.822, -59.3275), (0.992345, 0.121442, 0.022418), 62, 62.043, 17.59, (89.7601, 117.992, -33.2527), (25.4075, 121.987, -37.2466), (0.99617, -0.0618364, 0.0618258), (25.4075, 121.987, -37.2466), (-19.1039, 123.292, -40.2245), (0.997343, -0.0292411, 0.066724), (-19.1039, 123.292, -40.2245), (-45.356, 122.901, -42.2105), (0.997041, 0.0148456, 0.0754271), (-45.356, 122.901, -42.2105), (-62.6755, 122.036, -43.6409), (0.995375, 0.0497125, 0.0822063), 63, 59.656, 16.738, (88.2205, 116.664, -22.0605), (30.5312, 119.725, -16.9046), (0.994643, -0.0527598, -0.0888958), (30.5312, 119.725, -16.9046), (-10.5815, 124.309, -17.3593), (0.99378, -0.110819, 0.010993), (-10.5815, 124.309, -17.3593), (-36.1822, 125.748, -18.034), (0.998079, -0.0560866, 0.0263011), (-36.1822, 125.748, -18.034), (-53.4681, 125.947, -18.7029), (0.999186, -0.0115252, 0.038664), 64, 46.7692, 14.868, (88.5229, 108.898, -11.4184), (36.4566, 113.346, 0.907534), (0.969759, -0.0828343, -0.229576), (36.4566, 113.346, 0.907534), (4.81124, 120.626, 5.08898), (0.966564, -0.222355, -0.127717), (4.81124, 120.626, 5.08898), (-12.9033, 123.845, 7.03872), (0.978162, -0.177788, -0.107661), (-12.9033, 123.845, 7.03872), (-28.6377, 126.091, 8.48995), (0.985865, -0.140723, -0.0909291)
15294, 689943578, 1, 5, 0, 0, 6, (47.9849, 112.95, -28.209), 92.5373 degrees, -12.0552 degrees, -90.541 degrees , (-0.99477, -0.0151647, -0.101006), (97.7073, 106.068, -21.4161), (346.4, 109.859, 3.83533), 60, 48.2559, 18.75, (98.7658, 97.0225, -48.3209), (98.7658, 97.0225, -48.3209), (0, 0, 0), (98.7658, 97.0225, -48.3209), (55.9528, 96.5573, -65.7313), (0.926287, 0.0100646, 0.376685), (55.9528, 96.5573, -65.7313), (29.9342, 99.1288, -83.4255), (0.824156, -0.0814523, 0.560475), (29.9342, 99.1288, -83.4255), (15.1118, 102.725, -98.8187), (0.684007, -0.165974, 0.710343), 61, 54.4514, 17.91, (92.8393, 116.378, -39.8386), (25.8018, 120.94, -51.0417), (0.984108, -0.0669609, 0.16446), (25.8018, 120.94, -51.0417), (-13.9688, 120.097, -50.8438), (0.999763, 0.0211889, -0.00497292), (-13.9688, 120.097, -50.8438), (-36.2695, 118.216, -50.7721), (0.996459, 0.0840229, -0.00320346), (-36.2695, 118.216, -50.7721), (-51.9496, 116.117, -50.7434), (0.991157, 0.132683, -0.00181789), 62, 62.043, 17.59, (90.5311, 117.8, -28.7644), (26.0834, 121.847, -30.5731), (0.997643, -0.06265, 0.0279981), (26.0834, 121.847, -30.5731), (-18.4864, 123.162, -32.4832), (0.99865, -0.0294529, 0.0427986), (-18.4864, 123.162, -32.4832), (-44.7758, 122.675, -33.8608), (0.998459, 0.0184818, 0.0523215), (-44.7758, 122.675, -33.8608), (-62.117, 121.694, -34.9007), (0.99662, 0.0563654, 0.0597653), 63, 59.656, 16.738, (89.3698, 116.453, -17.529), (31.8901, 119.544, -10.4201), (0.991028, -0.0532916, -0.122569), (31.8901, 119.544, -10.4201), (-9.22739, 124.067, -9.81497), (0.993897, -0.10934, -0.0146261), (-9.22739, 124.067, -9.81497), (-34.8383, 125.482, -9.82713), (0.998476, -0.0551812, 0.000473788), (-34.8383, 125.482, -9.82713), (-52.1358, 125.676, -10.0469), (0.999857, -0.0111879, 0.0127024), 64, 46.7692, 14.868, (90.0259, 108.667, -6.91749), (38.4094, 113.128, 7.16979), (0.96138, -0.0830866, -0.262382), (38.4094, 113.128, 7.16979), (6.97994, 120.44, 12.7044), (0.95997, -0.223337, -0.169048), (6.97994, 120.44, 12.7044), (-10.6262, 123.7, 15.4189), (0.972176, -0.18002, -0.149888), (-10.6262, 123.7, 15.4189), (-26.2749, 125.997, 17.5546), (0.980494, -0.143962, -0.133813)
15295, 689952148, 1, 5, 0, 0, 6, (48.1187, 112.455, -22.9471), 100.095 degrees, -11.6755 degrees, -92.0874 degrees , (-0.99639, -0.0217769, -0.0820584), (98.0533, 105.938, -17.4807), (347.151, 111.382, 3.03392), 60, 48.2559, 18.75, (98.4863, 97.0476, -44.4543), (98.4863, 97.0476, -44.4543), (0, 0, 0), (98.4863, 97.0476, -44.4543), (55.2959, 96.4498, -60.9019), (0.934452, 0.0129337, 0.355854), (55.2959, 96.4498, -60.9019), (28.7906, 98.9248, -77.8727), (0.839573, -0.0783977, 0.537561), (28.7906, 98.9248, -77.8727), (13.3798, 102.414, -92.7023), (0.711161, -0.161036, 0.684337), 61, 54.4514, 17.91, (92.6283, 116.309, -35.7129), (25.2892, 120.39, -45.1534), (0.988536, -0.0599139, 0.138586), (25.2892, 120.39, -45.1534), (-14.4592, 119.113, -44.2153), (0.999206, 0.0321073, -0.0235824), (-14.4592, 119.113, -44.2153), (-36.7304, 116.961, -43.7369), (0.995137, 0.0961515, -0.0213773), (-36.7304, 116.961, -43.7369), (-52.3785, 114.657, -43.4268), (0.989139, 0.145667, -0.019602), 62, 62.043, 17.59, (90.5965, 117.652, -24.5749), (26.0935, 121.189, -24.6942), (0.998498, -0.0547547, 0.00184638), (26.0935, 121.189, -24.6942), (-18.5137, 122.061, -25.8225), (0.999489, -0.0195446, 0.0252815), (-18.5137, 122.061, -25.8225), (-44.8151, 121.264, -26.7557), (0.998913, 0.0302782, 0.0354415), (-44.8151, 121.264, -26.7557), (-62.1564, 120.053, -27.5109), (0.996631, 0.0695954, 0.0434055), 63, 59.656, 16.738, (89.7372, 116.234, -13.321), (32.4382, 118.823, -4.71127), (0.987913, -0.0446346, -0.148444), (32.4382, 118.823, -4.71127), (-8.72326, 122.636, -3.07772), (0.99496, -0.0921726, -0.0394864), (-8.72326, 122.636, -3.07772), (-34.3471, 123.615, -2.45638), (0.998978, -0.0381497, -0.0242235), (-34.3471, 123.615, -2.45638), (-51.6456, 123.519, -2.25141), (0.999914, 0.005543, -0.0118481), 64, 46.7692, 14.868, (90.7295, 108.396, -2.77394), (39.4614, 112.365, 12.6678), (0.954892, -0.0739099, -0.287609), (39.4614, 112.365, 12.6678), (8.14576, 119.354, 19.1779), (0.956495, -0.213495, -0.198842), (8.14576, 119.354, 19.1779), (-9.39752, 122.448, 22.4389), (0.968707, -0.170834, -0.180064), (-9.39752, 122.448, 22.4389), (-24.9918, 124.608, 25.0604), (0.977088, -0.135341, -0.164259)
15296, 689960770, 1, 5, 0, 0, 6, (48.662, 112.327, -17.8985), 106.899 degrees, -11.6367 degrees, -93.5299 degrees , (-0.99768, -0.0279621, -0.0620656), (98.7313, 105.908, -13.6948), (348.151, 112.898, 1.82155), 60, 48.2559, 18.75, (98.4972, 96.996, -40.6641), (98.4972, 96.996, -40.6641), (0, 0, 0), (98.4972, 96.996, -40.6641), (54.9521, 96.4006, -56.1481), (0.942127, 0.0128831, 0.335008), (54.9521, 96.4006, -56.1481), (28.0133, 98.8271, -72.4294), (0.853303, -0.0768599, 0.515719), (28.0133, 98.8271, -72.4294), (12.0952, 102.216, -86.7374), (0.734569, -0.156368, 0.66027), 61, 54.4514, 17.91, (92.8263, 116.253, -31.7915), (25.2619, 120.201, -39.5248), (0.991844, -0.0579534, 0.113525), (25.2619, 120.201, -39.5248), (-14.4596, 118.765, -37.916), (0.998529, 0.0361004, -0.0404444), (-14.4596, 118.765, -37.916), (-36.7041, 116.459, -37.0624), (0.993945, 0.103044, -0.0381396), (-36.7041, 116.459, -37.0624), (-52.323, 114.011, -36.4892), (0.987292, 0.154732, -0.0362305), 62, 62.043, 17.59, (91.0749, 117.602, -20.6066), (26.5831, 121.018, -19.0932), (0.998326, -0.0528856, -0.0234275), (26.5831, 121.018, -19.0932), (-18.0347, 122.023, -19.3741), (0.999726, -0.0225302, 0.00629511), (-18.0347, 122.023, -19.3741), (-44.3481, 121.206, -19.8261), (0.99937, 0.0310522, 0.0171669), (-44.3481, 121.206, -19.8261), (-61.6954, 119.929, -20.274), (0.99697, 0.0734044, 0.0257371), 63, 59.656, 16.738, (90.5039, 116.191, -9.33348), (33.4368, 118.68, 0.724237), (0.983915, -0.042906, -0.173409), (33.4368, 118.68, 0.724237), (-7.70656, 122.115, 3.35066), (0.994522, -0.0830356, -0.0634861), (-7.70656, 122.115, 3.35066), (-33.3157, 122.861, 4.59147), (0.998406, -0.0290684, -0.0483747), (-33.3157, 122.861, 4.59147), (-50.6026, 122.611, 5.21601), (0.999244, 0.0144363, -0.0361006), 64, 46.7692, 14.868, (91.7781, 108.364, 1.19098), (40.9105, 112.249, 17.9246), (0.947432, -0.0723549, -0.31167), (40.9105, 112.249, 17.9246), (9.76125, 119.072, 25.3457), (0.951413, -0.208408, -0.22667), (9.76125, 119.072, 25.3457), (-7.69387, 122.079, 29.12), (0.963839, -0.166078, -0.208407), (-7.69387, 122.079, 29.12), (-23.2139, 124.168, 32.2001), (0.972431, -0.130891, -0.192992)
15297, 689969521, 1, 5, 0, 0, 6, (49.611, 111.896, -12.9933), 112.374 degrees, -11.8367 degrees, -94.8548 degrees , (-0.998365, -0.0351629, -0.0450769), (99.75, 105.362, -9.95985), (349.341, 114.153, 1.30937), 60, 48.2559, 18.75, (98.8511, 96.3547, -36.8832), (98.8511, 96.3547, -36.8832), (0, 0, 0), (98.8511, 96.3547, -36.8832), (55.0001, 95.9277, -51.4846), (0.948744, 0.00923962, 0.31591), (55.0001, 95.9277, -51.4846), (27.6879, 98.3896, -67.1258), (0.865131, -0.077982, 0.495447), (27.6879, 98.3896, -67.1258), (11.3109, 101.707, -80.9235), (0.755749, -0.153085, 0.636717), 61, 54.4514, 17.91, (93.4415, 115.658, -27.9483), (25.7222, 119.754, -34.0848), (0.994118, -0.0601197, 0.0900834), (25.7222, 119.754, -34.0848), (-13.9661, 118.25, -31.843), (0.997695, 0.0378104, -0.0563543), (-13.9661, 118.25, -31.843), (-36.1832, 115.841, -30.6315), (0.992719, 0.107602, -0.0541365), (-36.1832, 115.841, -30.6315), (-51.7739, 113.288, -29.8051), (0.98551, 0.161376, -0.0522336), 62, 62.043, 17.59, (91.9605, 117.051, -16.7299), (27.5317, 120.64, -13.6935), (0.997348, -0.0555591, -0.0470018), (27.5317, 120.64, -13.6935), (-17.0728, 122.021, -13.0886), (0.999429, -0.0309441, -0.0135542), (-17.0728, 122.021, -13.0886), (-43.3933, 121.315, -13.0341), (0.999638, 0.0268101, -0.00206885), (-43.3933, 121.315, -13.0341), (-60.747, 120.053, -13.1568), (0.997338, 0.0725683, 0.00704902), 63, 59.656, 16.738, (91.6546, 115.683, -5.44128), (34.8498, 118.355, 5.96344), (0.979394, -0.0460792, -0.196633), (34.8498, 118.355, 5.96344), (-6.21516, 121.837, 9.57327), (0.992625, -0.0841487, -0.0872573), (-6.21516, 121.837, 9.57327), (-31.7869, 122.594, 11.4269), (0.996948, -0.0295336, -0.0722657), (-31.7869, 122.594, 11.4269), (-49.0539, 122.344, 12.4656), (0.998091, 0.0144469, -0.0600431), 64, 46.7692, 14.868, (93.1595, 107.89, 5.07829), (42.7149, 111.966, 23.0042), (0.939553, -0.0759282, -0.333878), (42.7149, 111.966, 23.0042), (11.7563, 118.726, 31.237), (0.945589, -0.206468, -0.25146), (11.7563, 118.726, 31.237), (-5.59318, 121.722, 35.4785), (0.958007, -0.165439, -0.234207), (-5.59318, 121.722, 35.4785), (-21.0217, 123.819, 38.9836), (0.966699, -0.131378, -0.219619)
